offline_datapoint_29 1701779627 0,000
offline_datapoint_11 1701779625 4208,410
offline_datapoint_27 1701779625 1847,837
offline_datapoint_9 1701779625 0,772
offline_datapoint_28 1701779625 28,118
offline_datapoint_21 1701779625 97,256
offline_datapoint_10 1701779625 2,646
offline_datapoint_3 1701779625 9987,012
offline_datapoint_15 1701779625 0,015
offline_datapoint_22 1701779630 732403,000
offline_datapoint_16 1701779630 3683,000
offline_datapoint_7 1701779630 567668736,000
offline_datapoint_25 1701779630 482758656,000
offline_datapoint_14 1701779630 7401705472,000
offline_datapoint_20 1701779630 201576448,000
offline_datapoint_6 1701779630 1711,000
offline_datapoint_0 1701779628 1,340
offline_datapoint_19 1701779628 16035,671
offline_datapoint_2 1701779630 201576448,000
offline_datapoint_12 1701779628 1,340
offline_datapoint_1 1701779630 4473520128,000
offline_datapoint_18 1701779630 3723960320,000
offline_datapoint_17 1701779628 0,524
offline_datapoint_23 1701779628 19,353
offline_datapoint_5 1701779628 8,248
offline_datapoint_24 1701779628 2431,556
offline_datapoint_29 1701779630 0,000
offline_datapoint_11 1701779628 4254,553
offline_datapoint_27 1701779628 1229,853
offline_datapoint_9 1701779628 0,792
offline_datapoint_28 1701779628 29,155
offline_datapoint_21 1701779628 97,528
offline_datapoint_10 1701779628 0,670
offline_datapoint_3 1701779628 6344,092
offline_datapoint_15 1701779628 0,016
offline_datapoint_22 1701779633 732403,000
offline_datapoint_16 1701779633 3688,000
offline_datapoint_7 1701779633 567668736,000
offline_datapoint_25 1701779633 482770944,000
offline_datapoint_14 1701779633 7439941632,000
offline_datapoint_20 1701779633 202067968,000
offline_datapoint_6 1701779633 1664,000
offline_datapoint_0 1701779631 5,328
offline_datapoint_19 1701779631 23147,095
offline_datapoint_2 1701779633 202067968,000
offline_datapoint_12 1701779631 0,666
offline_datapoint_1 1701779633 4514234368,000
offline_datapoint_18 1701779633 3772960768,000
offline_datapoint_17 1701779631 1,041
offline_datapoint_23 1701779631 26,382
offline_datapoint_5 1701779631 12,226
offline_datapoint_24 1701779631 2572,306
offline_datapoint_29 1701779633 0,000
offline_datapoint_11 1701779631 4358,103
offline_datapoint_27 1701779631 1622,634
offline_datapoint_9 1701779631 0,494
offline_datapoint_28 1701779631 23,975
offline_datapoint_21 1701779631 98,894
offline_datapoint_10 1701779631 2,664
offline_datapoint_3 1701779631 8213,333
offline_datapoint_15 1701779631 0,010
offline_datapoint_22 1701779636 732403,000
offline_datapoint_16 1701779636 3685,000
offline_datapoint_7 1701779636 567668736,000
offline_datapoint_25 1701779636 482775040,000
offline_datapoint_14 1701779636 7440420864,000
offline_datapoint_20 1701779636 201961472,000
offline_datapoint_6 1701779636 1671,000
offline_datapoint_0 1701779634 1,334
offline_datapoint_19 1701779634 13297,417
offline_datapoint_2 1701779636 201961472,000
offline_datapoint_12 1701779634 1,334
offline_datapoint_1 1701779636 4512677888,000
offline_datapoint_18 1701779636 3766210560,000
offline_datapoint_17 1701779634 0,130
offline_datapoint_23 1701779634 15,815
offline_datapoint_5 1701779634 6,776
offline_datapoint_24 1701779634 2076,116
offline_datapoint_29 1701779636 0,000
offline_datapoint_11 1701779634 3794,258
offline_datapoint_27 1701779634 1641,743
offline_datapoint_9 1701779634 0,670
offline_datapoint_28 1701779634 30,359
offline_datapoint_21 1701779634 98,632
offline_datapoint_10 1701779634 0,667
offline_datapoint_3 1701779634 7966,945
offline_datapoint_15 1701779634 0,013
offline_datapoint_22 1701779639 732403,000
offline_datapoint_16 1701779639 3683,000
offline_datapoint_7 1701779639 567672832,000
offline_datapoint_25 1701779639 482779136,000
offline_datapoint_14 1701779639 7400439808,000
offline_datapoint_20 1701779639 202002432,000
offline_datapoint_6 1701779639 1697,000
offline_datapoint_0 1701779637 0,000
offline_datapoint_19 1701779637 16990,078
offline_datapoint_2 1701779639 202002432,000
offline_datapoint_12 1701779637 0,000
offline_datapoint_1 1701779639 4470513664,000
offline_datapoint_18 1701779639 3724546048,000
offline_datapoint_17 1701779637 0,130
offline_datapoint_23 1701779637 18,810
offline_datapoint_5 1701779637 7,559
offline_datapoint_24 1701779637 2120,215
offline_datapoint_29 1701779639 0,000
offline_datapoint_11 1701779637 3896,792
